,band,limit_range,count,type
0,r,14.0,404499,dual
1,g,14.0,403995,dual
2,i,14.0,404250,dual
3,z,14.0,403984,dual
4,u,14.0,402797,dual
5,J0378,14.0,402760,dual
6,J0395,14.0,402306,dual
7,J0410,14.0,402931,dual
8,J0430,14.0,403062,dual
9,J0515,14.0,403436,dual
10,J0660,14.0,403921,dual
11,J0861,14.0,403753,dual
12,r,15.0,704526,dual
13,g,15.0,703957,dual
14,i,15.0,704127,dual
15,z,15.0,703643,dual
16,u,15.0,701785,dual
17,J0378,15.0,701460,dual
18,J0395,15.0,700776,dual
19,J0410,15.0,701839,dual
20,J0430,15.0,702215,dual
21,J0515,15.0,702877,dual
22,J0660,15.0,703613,dual
23,J0861,15.0,703292,dual
24,r,16.0,1232371,dual
25,g,16.0,1231300,dual
26,i,16.0,1231616,dual
27,z,16.0,1229974,dual
28,u,16.0,1224889,dual
29,J0378,16.0,1224256,dual
30,J0395,16.0,1221866,dual
31,J0410,16.0,1226264,dual
32,J0430,16.0,1227022,dual
33,J0515,16.0,1229564,dual
34,J0660,16.0,1230747,dual
35,J0861,16.0,1230140,dual
36,r,17.0,2093404,dual
37,g,17.0,2090603,dual
38,i,17.0,2091485,dual
39,z,17.0,2085760,dual
40,u,17.0,2065674,dual
41,J0378,17.0,2062832,dual
42,J0395,17.0,2049129,dual
43,J0410,17.0,2074113,dual
44,J0430,17.0,2077844,dual
45,J0515,17.0,2085889,dual
46,J0660,17.0,2089811,dual
47,J0861,17.0,2088022,dual
48,r,18.0,3619983,dual
49,g,18.0,3607924,dual
50,i,18.0,3611782,dual
51,z,18.0,3588206,dual
52,u,18.0,3427090,dual
53,J0378,18.0,3406105,dual
54,J0395,18.0,3326645,dual
55,J0410,18.0,3496654,dual
56,J0430,18.0,3531421,dual
57,J0515,18.0,3593092,dual
58,J0660,18.0,3608280,dual
59,J0861,18.0,3602623,dual
60,r,19.0,6791607,dual
61,g,19.0,6750083,dual
62,i,19.0,6773159,dual
63,z,19.0,6714862,dual
64,u,19.0,5860540,dual
65,J0378,19.0,5798157,dual
66,J0395,19.0,5525471,dual
67,J0410,19.0,6065458,dual
68,J0430,19.0,6229016,dual
69,J0515,19.0,6669212,dual
70,J0660,19.0,6766005,dual
71,J0861,19.0,6739273,dual
72,r,20.0,10501203,dual
73,g,20.0,10230821,dual
74,i,20.0,10456436,dual
75,z,20.0,10263195,dual
76,u,20.0,7956575,dual
77,J0378,20.0,7828854,dual
78,J0395,20.0,7403898,dual
79,J0410,20.0,8046254,dual
80,J0430,20.0,8332298,dual
81,J0515,20.0,9690283,dual
82,J0660,20.0,10442074,dual
83,J0861,20.0,10235020,dual
84,r,21.0,16607702,dual
85,g,21.0,15159611,dual
86,i,21.0,16400827,dual
87,z,21.0,15681363,dual
88,u,21.0,11403347,dual
89,J0378,21.0,11155070,dual
90,J0395,21.0,10566388,dual
91,J0410,21.0,11175946,dual
92,J0430,21.0,11484541,dual
93,J0515,21.0,13465160,dual
94,J0660,21.0,16305884,dual
95,J0861,21.0,15419623,dual
96,r,22.0,18852983,dual
97,g,22.0,15580589,dual
98,i,22.0,18050023,dual
99,z,22.0,16963464,dual
100,u,22.0,11884384,dual
101,J0378,22.0,11549176,dual
102,J0395,22.0,11029373,dual
103,J0410,22.0,11362407,dual
104,J0430,22.0,11564875,dual
105,J0515,22.0,13084385,dual
106,J0660,22.0,17433054,dual
107,J0861,22.0,16092269,dual
108,r,23.0,10828766,dual
109,g,23.0,8671366,dual
110,i,23.0,9977121,dual
111,z,23.0,9452059,dual
112,u,23.0,6430766,dual
113,J0378,23.0,6274815,dual
114,J0395,23.0,6052720,dual
115,J0410,23.0,6149902,dual
116,J0430,23.0,6210466,dual
117,J0515,23.0,6760369,dual
118,J0660,23.0,9028546,dual
119,J0861,23.0,8457594,dual
