band,limit_range,count
r,14.0,406839
g,14.0,406303
i,14.0,406551
z,14.0,406324
u,14.0,405062
J0378,14.0,405015
J0395,14.0,404581
J0410,14.0,405175
J0430,14.0,405374
J0515,14.0,405729
J0660,14.0,406248
J0861,14.0,406018
r,15.0,707509
g,15.0,706934
i,15.0,707103
z,15.0,706651
u,15.0,704735
J0378,15.0,704486
J0395,15.0,703745
J0410,15.0,704895
J0430,15.0,705237
J0515,15.0,705963
J0660,15.0,706590
J0861,15.0,706278
r,16.0,1233736
g,16.0,1232732
i,16.0,1233014
z,16.0,1231395
u,16.0,1226069
J0378,16.0,1225382
J0395,16.0,1223043
J0410,16.0,1227490
J0430,16.0,1228405
J0515,16.0,1231058
J0660,16.0,1232164
J0861,16.0,1231536
r,17.0,2085814
g,17.0,2083314
i,17.0,2084100
z,17.0,2078657
u,17.0,2060075
J0378,17.0,2056874
J0395,17.0,2043830
J0410,17.0,2068734
J0430,17.0,2072026
J0515,17.0,2079021
J0660,17.0,2082448
J0861,17.0,2080930
r,18.0,3561592
g,18.0,3551615
i,18.0,3554159
z,18.0,3531381
u,18.0,3390248
J0378,18.0,3370428
J0395,18.0,3297582
J0410,18.0,3459250
J0430,18.0,3489595
J0515,18.0,3539373
J0660,18.0,3550503
J0861,18.0,3546187
r,19.0,6676919
g,19.0,6646713
i,19.0,6660374
z,19.0,6607303
u,19.0,5848332
J0378,19.0,5786673
J0395,19.0,5529276
J0410,19.0,6048988
J0430,19.0,6202006
J0515,19.0,6585285
J0660,19.0,6652496
J0861,19.0,6636011
r,20.0,10566239
g,20.0,10350321
i,20.0,10524467
z,20.0,10388117
u,20.0,8166708
J0378,20.0,8031895
J0395,20.0,7602046
J0410,20.0,8268918
J0430,20.0,8561244
J0515,20.0,9873754
J0660,20.0,10509019
J0861,20.0,10357935
r,21.0,17072758
g,21.0,15867021
i,21.0,16860263
z,21.0,16296805
u,21.0,11930092
J0378,21.0,11666053
J0395,21.0,11040253
J0410,21.0,11720383
J0430,21.0,12067853
J0515,21.0,14123197
J0660,21.0,16755090
J0861,21.0,15965430
r,22.0,18143797
g,22.0,15746786
i,22.0,17509517
z,22.0,16697593
u,22.0,11567187
J0378,22.0,11239282
J0395,22.0,10709911
J0410,22.0,11095107
J0430,22.0,11314918
J0515,22.0,12950226
J0660,22.0,16875130
J0861,22.0,15748560
r,23.0,11641132
g,23.0,10106644
i,23.0,11038288
z,23.0,10629213
u,23.0,6892806
J0378,23.0,6727229
J0395,23.0,6482694
J0410,23.0,6609438
J0430,23.0,6696220
J0515,23.0,7404174
J0660,23.0,9877741
J0861,23.0,9336333
